AOC_CODE,RANK_TITLE,OFFICER_SEX,OFFICER_RACE,OFFICER_AGE_RANGE,OFFICER_AGE,OFFICER_DIVISION,OFFICER_ASSIGNMENT,OFFICER_YEARS_SWORN,OBJECTID
5176,POLICE RECRUIT                     ,M,W ,30 - 39,31,TRAINING                                               ,RECRUITS                                               ,0,2346
5178,POLICE OFFICER                     ,F,W ,21 - 29,25,6TH DIVISION                                           ,2ND PLATOON                                            ,0,2347
5179,POLICE OFFICER                     ,M,W ,21 - 29,29,2ND DIVISION                                           ,1ST PLATOON                                            ,0,2348
5181,POLICE OFFICER                     ,M,W ,21 - 29,26,2ND DIVISION                                           ,1ST PLATOON                                            ,0,2349
5182,POLICE OFFICER                     ,F,H ,21 - 29,26,6TH DIVISION                                           ,2ND PLATOON                                            ,0,2350
5183,POLICE OFFICER                     ,M,W ,21 - 29,26,4TH DIVISION                                           ,1ST PLATOON                                            ,0,2351
5184,POLICE OFFICER                     ,M,W ,21 - 29,25,7TH DIVISION                                           ,2ND PLATOON                                            ,0,2352
5186,POLICE OFFICER                     ,F,W ,30 - 39,32,4TH DIVISION                                           ,1ST PLATOON                                            ,0,2353
5187,POLICE OFFICER                     ,M,W ,21 - 29,26,1ST DIVISION                                           ,1ST PLATOON                                            ,0,2354
5188,POLICE OFFICER                     ,M,W ,30 - 39,31,RECORDS MANAGEMENT                                     ,LMPD SERVICE CENTER                                    ,0,2355
5189,POLICE OFFICER                     ,M,W ,30 - 39,30,6TH DIVISION                                           ,DETECTIVES                                             ,0,2356
5190,POLICE OFFICER                     ,M,B ,21 - 29,27,2ND DIVISION                                           ,1ST PLATOON                                            ,0,2357
5192,POLICE RECRUIT                     ,M,W ,21 - 29,25,TRAINING                                               ,RECRUITS                                               ,0,2358
5194,POLICE OFFICER                     ,M,W ,40 - 49,43,CHIEF`S STAFF                                          ,STAFF                                                  ,0,2359
5195,POLICE OFFICER                     ,M,W ,30 - 39,38,5TH DIVISION                                           ,2ND PLATOON                                            ,0,2360
5196,POLICE OFFICER                     ,M,W ,21 - 29,27,4TH DIVISION                                           ,2ND PLATOON                                            ,0,2361
5197,POLICE OFFICER                     ,M,W ,21 - 29,28,5TH DIVISION                                           ,2ND PLATOON                                            ,0,2362
5198,POLICE OFFICER                     ,M,W ,21 - 29,25,7TH DIVISION                                           ,2ND PLATOON                                            ,0,2363
5199,POLICE OFFICER                     ,M,W ,21 - 29,26,1ST DIVISION                                           ,DETECTIVES                                             ,0,2364
5200,POLICE RECRUIT                     ,M,W ,21 - 29,26,TRAINING                                               ,RECRUITS                                               ,0,2365
5201,POLICE OFFICER                     ,M,B ,30 - 39,34,RECORDS MANAGEMENT                                     ,LMPD SERVICE CENTER                                    ,0,2366
5202,POLICE OFFICER                     ,M,W ,21 - 29,26,2ND DIVISION                                           ,2ND PLATOON                                            ,0,2367
5203,POLICE OFFICER                     ,F,W ,21 - 29,26,CANINE UNIT                                            ,3RD PLATOON                                            ,0,2368
5205,POLICE OFFICER                     ,M,B ,21 - 29,27,4TH DIVISION                                           ,1ST PLATOON                                            ,0,2369
5206,POLICE RECRUIT                     ,M,A ,21 - 29,27,TRAINING                                               ,RECRUITS                                               ,0,2370
